23
600 800
1 107 712 73 25 -4 -14 7 -16 
-4 0 712 107 25 v -14 -26 1 
-7 0 466 600 195 v 6 -8 v 
2 0 661 73 24 v -7 -13 -8 
-8 73 661 527 24 2 -7 -13 v 
-10 0 0 600 85 v v -12 v 
3 501 85 53 158 -11 -10 -23 -12 
-11 0 85 501 158 v -10 -23 3 
-12 554 85 46 158 3 -10 -23 v 
-13 0 685 600 8 v 2 -20 v 
4 413 693 17 107 -14 -13 v -21 
-14 0 693 413 19 v -13 -16 4 
-16 180 712 233 25 1 -14 -27 4 
-18 0 774 413 26 v -26 v 4 
-20 430 693 170 63 4 -13 5 v 
5 575 756 25 44 -21 -20 v v 
-21 430 756 145 44 4 -20 v 5 
-23 0 243 600 190 v -11 -24 v 
6 0 433 46 33 v -23 -7 -24 
-24 46 433 554 33 6 -23 -7 v 
7 142 737 38 37 -26 1 -18 -27 
-26 0 737 142 37 v -4 -18 7 
-27 180 737 233 37 7 -16 -18 4 
